,2024-02-14 09:00:00,2024-02-14 12:00:00,2024-02-14 15:00:00,2024-02-14 18:00:00,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
100.0,4.379567129362127e-10,7.558039772246864e-11,-9.55945924838332e-10,-1.614712340057166e-09,-1.8010870102339446e-10,7.054869774691482e-12,-5.05104047327597e-10,-4.756751358123953e-10,-1.104241061858114e-10,-2.600260439289324e-10,1.3820761263073664e-10,1.694267715149485e-11,-6.658219449266226e-11,-1.7844132370464725e-10,-8.13887997369404e-10,-1.0652372689972139e-09,3.037605066758688e-10,1.497973118808482e-09,6.835423593388597e-10,-3.596560590952701e-10,3.104398902289751e-10,2.711209939417088e-10,-8.042407802544296e-11,4.852433527617731e-10,1.1156631744756008e-10,-4.367942526723069e-10,1.589558344987175e-10,-2.8431463233727163e-10,-2.553076175634883e-10,1.6927836001937797e-10,8.840637343681906e-10,4.055162088895767e-10,-1.0972284599400432e-10,-6.833763819212401e-10,-5.155244852840301e-10,1.3988627095618507e-11,8.623921139167626e-13,-2.365739127766506e-10,-4.028372737047418e-10,-4.4625471974153725e-10,-2.0438730674050177e-10,-1.198168090823902e-10,-6.846003239210346e-11,3.8173904596671e-10,2.0421961014583e-10,9.603437066826319e-12,1.0197210466136259e-10,4.0657902584977206e-10,-2.675599913439635e-10,-6.741819870488318e-11,-4.7148516122113775e-11,-1.142786334205522e-10,-1.2943457001341214e-10,-1.304687002808704e-10,-8.52890913817401e-11,-3.2365627603320535e-10,9.886190679270098e-11,2.458806679071588e-10,-3.184780829503065e-10,-3.8796953180698435e-10,2.645168807984167e-10,-1.668978697931499e-10,-4.1409634005264414e-11,1.2586833317712802e-10,2.578031231777379e-10,8.192426860999202e-11,-1.1974438751826156e-11,-8.374651233237588e-11,-5.235637232160291e-12
200.0,-4.150268254073369e-10,3.1064640087083305e-10,-6.166550621817695e-11,-4.4771249333408285e-10,-2.1434422644705842e-10,-2.0123209679339197e-10,-3.900442029231103e-10,-4.082976865338983e-10,-2.9732504555944665e-10,-3.5152079979175277e-10,-1.5097562921314222e-10,-2.940006362356538e-10,-5.972418145944798e-11,1.0448044984569009e-10,5.815027059306922e-10,-5.59736728930232e-11,-8.21297837870605e-10,-9.146886714184865e-10,3.377065157348348e-11,5.0853882107451527e-11,-1.2537622353705614e-11,8.800017178564978e-12,2.42115404021308e-10,-3.2945937762288416e-12,2.853561864207362e-10,-1.4287315301060319e-10,-1.0039183753081148e-11,5.433725781134053e-10,4.5976961730084795e-10,-3.5359539181523585e-10,-5.792519583030327e-10,-4.2137342712806204e-10,1.6832672710015154e-10,4.714360194312128e-11,-6.088900977893809e-10,-8.113913570128896e-11,4.447795892323169e-10,-3.022363699049536e-10,-1.4647027280541975e-10,-3.773718977355665e-10,-2.4643051116323007e-10,4.608030345476096e-11,-3.1264386092257337e-11,-1.1385149114647448e-10,-8.200855688748847e-11,7.088566639679758e-11,-9.054478919320272e-11,3.0203414975741007e-10,8.975820180436026e-11,1.920065623861975e-10,-3.0324937122108004e-10,-1.6457446955860708e-10,1.1167210589335887e-10,2.443689078968306e-10,1.8736715446312575e-10,2.535182388845634e-10,-1.4607427990019831e-10,-1.0647283774379032e-10,-2.4592118626844128e-11,-2.058129106487497e-10,-2.542205197213467e-10,2.1034605941850382e-10,1.1234394733085455e-10,-3.0447587217158617e-10,2.2511014287770088e-10,-1.659018225030417e-10,-8.068875196686524e-11,1.0013784284972106e-10,5.296738355721489e-11
300.0,-5.750497170267101e-10,-2.7973537744837446e-10,-2.6283271754710015e-10,-8.244393228985935e-11,-2.985503891694626e-10,-1.1978421095673737e-10,-1.073638840797373e-10,-5.194087574239163e-10,-2.4197532228841327e-10,1.4950672077840395e-10,-5.779175192694853e-11,-6.299647411606646e-11,-1.8562015199223428e-10,1.603819819692752e-10,4.167948089249747e-10,5.299252460660803e-10,2.6558333134511052e-11,-2.644937101566698e-10,-4.516809161650224e-10,-2.766050072672491e-10,-2.405360892348242e-10,-9.256012479298739e-11,7.431357491390202e-11,-4.360534682467263e-11,2.6000517628661816e-10,1.5959170637654255e-10,-4.5352970042874073e-10,2.3892079009798978e-11,2.541380132878225e-10,3.0525230659675904e-10,-1.0681232081588324e-10,-5.507144391437993e-10,1.3439626721305605e-10,-9.806647378899811e-12,4.200419299094761e-11,-2.726449179698069e-10,1.855570271993036e-10,5.809494906713778e-11,-2.790501685140851e-10,-1.9342593172283326e-10,-3.677490675984872e-10,-1.6453707760242995e-10,1.714863126675478e-11,-1.244392329847293e-10,-1.5413766062048993e-10,-7.55660797993265e-11,4.437093615596959e-11,-1.4225453085214427e-10,5.502828806689662e-11,2.790007881727296e-11,3.395873161527515e-11,-2.4573244496771263e-10,1.2360839252253395e-10,-5.331541297875155e-11,-1.807030354913187e-11,3.929602274576118e-10,7.928880070678341e-11,-2.0112647653780514e-10,-2.7204144369230764e-10,-1.8644917943227245e-10,-3.255189386596429e-10,-1.2929305468039335e-10,-3.193012491785068e-10,-1.2162821072140165e-10,-1.7704691022625536e-10,-1.7481113393707579e-10,3.419675139154166e-11,-1.9574922282781534e-10,-5.273657097116449e-11
500.0,-8.770574315054284e-12,-3.703637195033897e-10,6.892908713157838e-11,-1.2324050075560383e-10,-4.716785882811303e-10,-3.682553748215722e-10,-1.8443111501612214e-10,-1.7800650930451885e-10,-2.353483133913915e-10,-6.239720853809816e-11,-1.5083250513603937e-10,-1.2221134186424554e-10,5.5217471482449375e-11,-1.7417883186331004e-10,-4.712113250098769e-10,-1.0312192080193979e-10,1.787218088288259e-10,-3.482681051354085e-11,-3.285069941777425e-11,1.9188301039477115e-10,3.2565403347971585e-10,2.686555197388215e-10,3.964055442624834e-10,-1.6658303245643837e-10,-1.6935458883628428e-10,3.932953052783261e-11,-3.344989483700833e-11,-1.7216959448874936e-10,6.34427610296558e-11,3.1788306034171614e-10,4.182201174425745e-10,1.8510805791987946e-10,-2.667423467900924e-10,2.454588631674112e-11,1.6978492091032793e-10,-1.8880744345744067e-11,-1.9302596277194156e-10,-3.3185289296736083e-10,-1.8346107267049795e-10,-3.1149407075969674e-11,-3.170478902899719e-11,-2.2095857077205098e-10,5.3680139900469356e-11,1.4207617396709882e-11,-4.559354936887041e-11,-1.0484926643611159e-10,3.427374648212212e-11,-3.01313904179978e-11,7.64397914897801e-12,-7.734138852822432e-11,5.0407244844430265e-11,1.0464753479348599e-10,-4.786437168185994e-12,2.473767093980598e-11,2.4555480818376993e-11,-6.513360426542132e-11,-4.8159941263574695e-11,1.584565248190827e-10,-1.25238910657393e-10,-1.1081274825710233e-10,1.0475850453052368e-10,-3.1905284825026454e-11,-2.9896822841047916e-11,-3.078894593736299e-10,-5.276118724935064e-11,1.8619628771970692e-10,-2.471465267020813e-10,-5.811589171680257e-12,4.52659636605088e-11
700.0,-1.0198415337403751e-10,-1.7288216136073003e-10,-2.932828688945763e-10,1.8950897330455159e-10,-9.428052443297198e-11,-3.3730137680729186e-10,-1.5151930290904374e-10,8.667243905786505e-11,6.756412507945602e-11,1.0654711230931937e-12,-5.849863098067384e-11,-1.6236832357590997e-11,1.0247148627284364e-10,6.033908345020523e-11,-2.3594819061209856e-10,-2.2640490255605698e-10,2.261608948540612e-10,-3.9236166510394144e-11,-1.2566843635319014e-10,-4.2593882219183046e-11,1.5710218784954005e-11,1.441338262368818e-10,1.709072803534335e-10,2.1898014385607588e-10,2.1400620439466223e-11,5.893315655001159e-11,-1.9906392154538186e-13,-2.6442017171108506e-11,-2.6853793112265983e-10,1.7801507290418467e-11,5.968135264939556e-11,3.42670689534377e-10,-6.358110939075312e-11,-7.19912356863073e-12,8.951312927061276e-11,-4.0561857810577494e-11,-8.96374225194386e-11,-1.8164808748573646e-10,-3.6649869256920766e-10,-2.4634186539221977e-10,-6.618703631403672e-11,-2.0769011924245732e-10,-1.5553938245186623e-10,7.200919271287541e-11,-8.683249995848876e-11,-5.5281059581144935e-11,-1.921138577285285e-11,-7.978089052286008e-11,1.0107824948907556e-10,-1.437390877829355e-10,-3.2120625941065056e-11,6.327458312163597e-11,-1.5304155377837433e-11,3.6074633176902243e-12,1.246171664764306e-10,-1.4772719865486636e-11,-9.625609969839583e-11,3.3041105487829806e-11,-2.57319302136931e-10,-1.6829774471512004e-10,-8.631683989564473e-11,-1.3450382251340495e-10,8.777016912353388e-11,-9.394260925712352e-11,-3.548059705307953e-10,2.2014829159736465e-10,-2.705751075686075e-10,5.552168429573807e-11,-6.038508046523267e-11
1000.0,8.03093757794705e-11,-1.9025192159533355e-10,-3.0554342238133423e-10,-2.05716742329158e-10,1.0405755509710249e-10,-1.078065810929376e-10,-1.791942568080395e-10,1.4438692523865234e-10,1.0625439319746696e-10,-6.920318567412006e-11,2.874215768169314e-11,-1.5636147101977106e-11,4.0452478530490465e-11,4.335411944590251e-11,2.0215646211066032e-10,-1.6878809374075704e-10,-3.988583763469805e-11,1.232937559965685e-10,6.236058034050816e-12,-3.4673170162277193e-11,-1.0954658508303968e-10,-2.0212360090680908e-11,-1.1698936275311701e-10,1.6290815568285435e-11,4.573241492280605e-11,-9.641972394318225e-11,1.9165700517011247e-10,1.797028445248664e-10,1.1014127116130705e-10,-8.67941215809422e-11,-3.3604492534745635e-11,1.7908219411840478e-10,3.905889301591038e-11,-1.832469517107016e-11,-1.179801589375892e-10,8.997121826728334e-11,-9.646541971203719e-11,-1.7236141004725462e-10,-2.8895431050313094e-11,-1.3075481394185322e-10,-9.072596779792867e-11,-5.605276007536815e-12,-8.053769447002269e-11,2.858697284942573e-11,-3.777894467902559e-12,-3.4938688181931445e-11,-8.452332780675569e-11,-1.0374905665709769e-10,-7.77985342183204e-11,-4.110778019478589e-12,-7.066449104151813e-12,1.834388319326376e-11,2.0268279288039475e-13,-4.133331458875274e-11,-5.848093626752551e-11,1.0331758266357059e-10,1.0267325723544252e-10,-1.318406356997631e-10,-7.32088382412494e-11,-5.868636938825721e-11,-6.992258706347156e-11,-4.3101089847138516e-11,-1.3039276629873163e-10,3.064348682643162e-11,-8.540059373908996e-11,-1.3391315928505045e-11,-1.247331380741786e-10,2.1398926131268344e-11,-1.1278574936619256e-10
2000.0,-6.852324189275906e-11,4.3684665347918275e-12,-9.075256637734699e-11,-1.0585312261632733e-10,-9.755343052970731e-11,-3.081570748755392e-11,-1.7672152948530077e-10,-5.19141281596709e-11,1.0901895907678243e-10,4.5083562919743334e-11,-5.129886193768915e-12,5.517644672477347e-11,2.6933949310490437e-11,5.541653066818955e-11,6.938870454853957e-11,1.0341250645684841e-10,-1.024205133634582e-10,-1.3884976446248783e-10,4.796936254748051e-11,6.63664079383584e-11,7.783826047541203e-11,-1.0053454564395276e-11,1.0616158684730988e-11,5.366347176719073e-11,3.5647255466062056e-11,2.443525251180406e-10,1.5056779122151106e-10,4.987877253174038e-11,2.3677945242461888e-11,-3.8154960570875725e-12,4.746030393186039e-11,-8.82231119271586e-11,3.520520203240726e-11,2.4196686987618556e-12,4.7476145540713256e-11,7.596280916090633e-11,-1.0501418545736772e-10,-1.3983208987413049e-10,-5.010137250451004e-11,-9.017667333159979e-11,-9.014128843516998e-11,5.690456444740694e-11,-1.860645047053152e-10,-1.6768268492863287e-10,-9.387279385031027e-11,-1.2547780837283405e-10,-1.5282001992506654e-10,2.2868780290121322e-11,-7.671652177604213e-12,-8.667829749048158e-11,-4.1582248797688235e-12,8.802912958930988e-12,-3.315855857239146e-11,-4.541492923023177e-11,-3.015655801211498e-11,-1.5269764106572695e-11,8.052480937647206e-13,-9.690967186508039e-11,-6.468206056871201e-11,-8.58260639623577e-11,-2.749869025621728e-11,-5.751306875405041e-11,-9.61061308282549e-11,-3.8314130542818964e-11,-2.7740328408977987e-11,-1.2363779759265417e-10,-3.4749446003972696e-11,-1.5021912253430198e-10,-1.2660710370272958e-12
3000.0,-1.0323224452884354e-10,-1.4033938783435562e-10,-5.0080803024482434e-11,-1.3109004862283374e-10,-5.755488724828936e-11,-5.890646305862516e-11,-3.0464585535081646e-11,-1.2478261686543365e-10,-1.2459186870197607e-10,-2.269364137042274e-11,3.625487765974966e-12,1.238038619887546e-10,7.334167058727156e-11,-3.1980602931820234e-11,2.178686592859713e-11,1.1732291117802547e-10,3.729312817621579e-11,-3.897828056904576e-11,-2.437341098548931e-11,-8.393339725756699e-11,-4.9688858882264235e-11,-3.755883850853445e-11,1.1751048220383857e-10,1.875377340819828e-10,1.078481513011584e-10,-1.9180524697966116e-11,-7.48742316980449e-11,1.3297662208317445e-11,5.7242167118883514e-11,1.8959656934352795e-11,1.2679746018223724e-10,9.351943962482959e-11,1.0273041558169298e-10,1.96086909064724e-11,-2.182012230396101e-11,-3.233033411105031e-11,-6.29658358247095e-11,7.335590948331653e-12,-4.147464204328667e-11,-1.1650341424708167e-10,-7.952861001243588e-11,-2.2424097791813476e-11,-5.8197872538745004e-11,-5.854861268311937e-11,-9.50330686192103e-11,-4.7117330367588425e-11,-7.853691041992358e-11,1.78113964340702e-11,-2.439056448468899e-11,-5.2446133120377023e-11,-5.301551802865714e-11,-7.121765787437653e-11,-4.0191680761713545e-11,-2.014947616496774e-11,3.969143390112784e-11,-2.898337648733576e-11,-4.205912816606062e-11,-8.577129585306136e-11,-1.3849827171259969e-10,-6.5592679645262e-11,-6.542108006824905e-11,-6.022836190410527e-12,-3.888952211000023e-11,-6.276943316854621e-11,-7.756645051041055e-11,-4.595099130257874e-11,-6.212577086682955e-11,-4.456726940779089e-11,2.2201306336221928e-12
5000.0,-1.8464741842231662e-10,-3.0298081091943386e-11,-1.2585700079091734e-10,-9.151195628401378e-11,-2.635848079677575e-11,-2.5781963978701447e-11,6.8439237409400555e-12,1.6538259970189082e-11,1.2255588967920158e-11,-1.7047715073892087e-11,-7.380441702795243e-12,3.093134250766505e-11,3.14819736373424e-11,3.1678877552126366e-12,2.753142789990026e-11,-7.773964011816211e-11,-3.679759412497048e-11,3.44257992043105e-11,-2.8769046387458036e-11,9.574912909174971e-11,6.296968560276388e-11,4.674986449249861e-11,9.32911098341589e-12,-1.461411517450564e-10,3.16969269861252e-11,6.831068251950514e-11,1.9293908008316124e-11,2.256924336532227e-11,-1.9490924810408333e-12,-4.437022452501453e-11,-2.3107409348911883e-11,2.5535945576665557e-11,-1.9384631036377293e-11,-3.41590792803553e-11,-2.4577566699850973e-11,2.7500124477970984e-11,-9.221954622842408e-13,-4.05960314289229e-11,-1.3504780092223544e-10,-9.149016886778558e-11,-9.225918447668554e-11,-1.4995055846164584e-10,-8.617183837269826e-11,-9.067878208161178e-12,-3.570696105757622e-11,-2.4213051838325123e-11,2.6668896072574697e-11,-6.271395023647823e-11,-8.984258439119965e-11,-2.0827919381428996e-10,-1.8207138172955336e-10,-1.1750439377378404e-10,-1.2937425169717019e-11,-6.776656651287315e-12,-1.7183624622794856e-11,-6.103940421844286e-11,-2.3614992706259085e-12,-5.126689355565655e-11,-8.561044051211086e-11,-1.3001277982468995e-10,-2.2328044790042995e-11,-7.054960048467112e-11,-9.979835396583407e-11,-4.800691494880141e-11,-6.482378770726824e-11,-1.5881954902901837e-10,-9.821637020098583e-11,-2.164511225325059e-11,1.9344301862537365e-11
7000.0,-1.8169526634340327e-11,-1.5723167950149689e-10,-1.9804223682145068e-11,-6.416114702027016e-11,-1.099301487929799e-10,-9.596473942967918e-11,-5.839992964107708e-11,-5.103076443786695e-11,-7.785928380139961e-11,-3.769318523534476e-11,-6.325422726162708e-12,-6.22794905983581e-12,-1.346056117567017e-11,-4.61956574538031e-11,1.68172668929375e-11,6.052342335195937e-12,8.457207970314577e-13,-9.005615164069386e-11,-5.3655746250660566e-11,-5.4045104860795935e-11,-4.6520524463873075e-11,8.552385239413798e-11,7.808572125478227e-11,7.108119374370863e-11,-6.615109470136243e-11,-9.417576185053366e-11,-7.228627297804732e-11,-8.454361667915303e-11,1.883405667510533e-11,7.574008231974808e-11,3.157980502586175e-12,5.070639159609582e-11,1.7630768774199112e-10,1.0104898527860857e-10,-4.6204267567959354e-11,-1.0704255339010726e-11,-6.485551444771671e-11,-4.4508486336328485e-11,-9.606317031896226e-11,-1.6054597805598375e-11,-1.2112715028946203e-10,-9.329275505339178e-11,-2.3562843688027366e-10,-1.329408234429532e-10,-1.1191645555587014e-10,-7.629656177488762e-11,-1.5682069388472631e-10,-1.1409158032654385e-10,-1.64121856662636e-10,-1.0671144032108351e-10,-1.5582797790855736e-10,-1.1575964390721588e-10,-7.849029460734927e-11,-3.896539620293439e-11,-2.4255950379676767e-11,-4.9420647087377907e-11,-1.774852475448967e-11,-6.060147280519088e-11,-3.619767153819343e-11,-1.234844529825141e-10,-9.860050497756914e-11,-6.818808129958921e-11,-8.268491275078934e-11,-3.834917693593591e-11,-3.5568324327210176e-11,3.4066009421494044e-11,-1.2093536019355554e-10,-2.1228981514261098e-10,-6.805680020795355e-11
